N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"83,800",300,+0.36%,100,"5,002,678","5,969,783",54.93,"8,394,065",22.88,8.69,
2,SK하이닉스,"127,500",0,0.00%,"5,000","928,203","728,002",49.98,"1,353,470",32.34,4.25,
3,LG화학,"999,000","29,000",-2.82%,"5,000","705,218","70,592",44.53,"159,944",93.34,1.84,
4,삼성전자우,"74,100",200,-0.27%,100,"609,759","822,887",79.28,"784,336",20.23,N/A,
5,NAVER,"362,000",500,-0.14%,100,"594,633","164,263",57.13,"385,055",72.07,10.56,
6,삼성바이오로직스,"816,000","4,000",+0.49%,"2,500","539,906","66,165",10.37,"28,457",151.93,4.77,
7,삼성SDI,"779,000","4,000",+0.52%,"5,000","535,676","68,765",44.41,"223,756",265.78,2.94,
8,현대차,"237,500","12,000",-4.81%,"5,000","507,462","213,668",31.20,"2,286,399",56.75,4.32,
9,셀트리온,"341,500",0,0.00%,"1,000","461,018","134,998",21.33,"456,813",92.30,11.19,
10,카카오,"461,000","6,000",+1.32%,500,"408,266","88,561",33.62,"320,819",-511.65,-5.81,
11,기아차,"89,000","12,500",-12.32%,"5,000","360,773","405,363",34.81,"16,732,679",41.36,6.50,
12,현대모비스,"324,000","28,500",-8.09%,"5,000","307,977","95,055",40.90,"1,166,498",19.76,7.28,
13,SK이노베이션,"289,500","14,500",-4.77%,"5,000","267,688","92,466",23.33,"1,998,539",-11.01,-0.20,
14,LG생활건강,"1,669,000","43,000",+2.64%,"5,000","260,668","15,618",46.01,"21,263",37.39,20.32,
15,LG전자,"159,000","1,000",+0.63%,"5,000","260,200","163,648",32.53,"1,208,590",34.54,0.22,
16,삼성물산,"133,500","1,000",-0.74%,100,"249,494","186,887",14.79,"298,479",22.37,4.77,
17,POSCO,"270,000","7,000",+2.66%,"5,000","235,404","87,187",51.39,"269,866",24.73,4.18,
18,엔씨소프트,"1,040,000","64,000",+6.56%,500,"228,322","21,954",50.25,"172,223",40.69,14.72,
19,SK,"310,500","5,000",-1.58%,200,"218,469","70,360",21.43,"171,941","1,310.13",4.31,
20,SK텔레콤,"253,000","5,500",-2.13%,500,"204,287","80,746",35.38,"201,839",18.63,3.92,
21,KB금융,"45,100",750,+1.69%,"5,000","187,529","415,808",66.43,"1,776,582",5.50,8.92,
22,LG,"106,000","2,000",+1.92%,"5,000","182,911","172,557",34.89,"272,459",14.98,5.87,
23,신한지주,"33,100","1,300",+4.09%,"5,000","170,994","516,600",58.35,"2,559,365",4.75,9.09,
24,한국전력,"24,100",550,+2.34%,"5,000","154,713","641,964",17.00,"2,381,774",167.36,-3.42,
25,삼성전기,"205,000","2,500",-1.20%,"5,000","153,122","74,694",35.13,"223,846",42.00,10.18,
26,삼성에스디에스,"196,500","2,000",+1.03%,500,"152,047","77,378",11.72,"78,823",29.01,11.76,
27,삼성생명,"73,000","1,200",+1.67%,500,"146,000","200,000",12.34,"264,767",14.66,3.26,
28,아모레퍼시픽,"227,500",500,+0.22%,500,"132,993","58,458",32.46,"190,185",365.76,5.36,
29,넷마블,"139,000",500,+0.36%,100,"119,370","85,878",23.93,"190,734",56.30,3.54,
30,SK바이오팜,"149,500",500,+0.34%,500,"117,078","78,313",4.65,"82,478",-135.91,-313.66,
31,하나금융지주,"37,350","1,200",+3.32%,"5,000","112,140","300,242",67.18,"2,009,858",4.57,8.77,
32,KT&G,"79,700",300,-0.37%,"5,000","109,422","137,292",40.31,"461,009",11.12,12.39,
33,포스코케미칼,"139,500",0,0.00%,500,"108,061","77,463",7.51,"202,109",313.48,11.57,
34,롯데케미칼,"299,000","15,000",+5.28%,"5,000","102,484","34,275",26.27,"441,888",88.38,5.51,
35,한온시스템,"17,600",750,-4.09%,100,"93,949","533,800",20.08,"1,010,902",66.92,14.98,
36,S-Oil,"80,000","5,400",+7.24%,"2,500","90,066","112,583",76.21,"1,555,626",-10.73,1.01,
37,빅히트,"247,500","4,500",+1.85%,500,"88,169","35,624",9.34,"223,083",N/A,56.47,
38,한화솔루션,"54,600",400,+0.74%,"5,000","87,286","159,864",18.92,"1,610,633",-100.18,-4.02,
39,LG디스플레이,"23,250",50,+0.22%,"5,000","83,192","357,816",23.99,"1,479,377",-3.38,-22.35,
40,금호석유,"266,000","10,500",-3.80%,"5,000","81,044","30,468",28.39,"429,604",22.76,11.84,
41,삼성화재,"170,000","2,000",+1.19%,500,"80,537","47,375",44.23,"91,155",12.43,4.85,
42,고려아연,"417,000","2,500",+0.60%,"5,000","78,688","18,870",22.85,"34,436",14.05,9.76,
43,현대글로비스,"203,000","18,000",-8.14%,500,"76,125","37,500",34.76,"597,549",11.41,11.25,
44,한국조선해양,"101,000","2,800",+2.85%,"5,000","71,481","70,773",16.46,"244,113",334.44,1.40,
45,우리금융지주,"9,460",130,+1.39%,"5,000","68,327","722,268",25.05,"1,143,485",5.07,N/A,
46,CJ제일제당,"452,500","9,000",+2.03%,"5,000","68,120","15,054",24.60,"50,428",9.40,3.16,
47,미래에셋대우,"9,950",160,+1.63%,"5,000","64,209","645,316",14.85,"1,337,927",10.40,7.56,
48,KT,"24,000",50,-0.21%,"5,000","62,667","261,112",43.80,"665,516",10.23,4.61,
49,기업은행,"8,480",250,+3.04%,"5,000","62,639","738,664",10.41,"2,397,077",4.33,7.36,
50,한국타이어앤테크놀로지,"50,200","5,150",+11.43%,500,"62,185","123,875",40.80,"1,195,484",24.16,6.03,
51,KODEX 200,"42,930",20,-0.05%,0,"59,565","138,750",7.80,"3,356,095",N/A,N/A,
52,현대제철,"41,150",150,+0.37%,"5,000","54,913","133,446",19.27,"548,834",-22.29,0.10,
53,대한항공,"31,500","1,500",+5.00%,"5,000","54,876","174,210",11.65,"5,295,127",-9.26,-22.09,
54,LG유플러스,"12,550",150,-1.18%,"5,000","54,795","436,611",30.11,"2,458,326",6.91,6.30,
55,강원랜드,"24,600",700,+2.93%,500,"52,629","213,940",22.17,"639,064",-27.70,9.16,
56,아모레G,"63,800","1,100",+1.75%,500,"52,608","82,458",20.04,"100,201",225.44,4.12,
57,코웨이,"71,200","1,100",+1.57%,500,"52,545","73,800",60.80,"171,330",14.71,30.74,
58,한미사이언스,"76,200",600,-0.78%,500,"51,286","67,305",1.76,"73,673",346.36,4.73,
59,녹십자,"437,000","16,000",-3.53%,"5,000","51,070","11,687",21.19,"217,624",117.22,-0.35,
60,LG이노텍,"207,000","4,500",-2.13%,"5,000","48,991","23,667",31.20,"123,010",37.53,4.73,
61,SK케미칼,"415,000","8,000",-1.89%,"5,000","48,727","11,741",21.90,"188,082",18.94,1.51,
62,오리온,"122,000",500,+0.41%,500,"48,234","39,536",42.05,"45,548",17.62,14.24,
63,현대건설,"43,250",800,+1.88%,"5,000","48,161","111,356",18.63,"570,205",21.09,6.30,
64,한국금융지주,"86,100",900,+1.06%,"5,000","47,980","55,726",30.28,"226,036",7.88,18.14,
65,SKC,"126,000","4,500",-3.45%,"5,000","47,714","37,868",8.12,"279,045",55.93,3.86,
66,이마트,"171,000","3,000",+1.79%,"5,000","47,668","27,876",31.41,"71,097",8.54,2.76,
67,HMM,"14,200",150,+1.07%,"5,000","46,562","327,902",6.62,"1,479,368",-45.81,-55.46,
68,유한양행,"66,400",100,+0.15%,"1,000","46,462","69,973",19.91,"122,709",25.58,2.43,
69,두산중공업,"12,300",500,+4.24%,"5,000","46,080","374,637",10.57,"3,023,142",-2.65,-14.73,
70,한미약품,"369,500",500,+0.14%,"2,500","44,629","12,078",14.04,"27,753","-3,587.38",7.30,
71,현대중공업지주,"267,500","12,500",+4.90%,"5,000","42,261","15,799",17.63,"68,148",-81.04,2.20,
72,CJ대한통운,"184,000",0,0.00%,"5,000","41,975","22,812",21.74,"59,845",33.17,1.41,
73,신풍제약,"78,700","1,100",-1.38%,500,"41,699","52,985",11.56,"590,731",771.57,2.57,
74,한진칼,"61,400",300,+0.49%,"2,500","40,685","66,263",15.44,"35,838",-10.13,-17.56,
75,맥쿼리인프라,"10,850",0,0.00%,0,"40,383","372,192",14.25,"453,095",N/A,N/A,
76,삼성중공업,"6,390",170,+2.73%,"5,000","40,257","630,000",15.01,"3,972,033",-3.22,-21.88,
77,두산퓨얼셀,"60,500",100,+0.17%,100,"39,624","65,494",19.62,"519,994",177.42,N/A,
78,키움증권,"153,500","4,500",+3.02%,"5,000","39,363","25,644",22.39,"111,105",6.77,16.97,
79,현대차2우B,"107,500","6,500",-5.70%,"5,000","39,222","36,485",61.16,"126,087",25.69,N/A,
80,동서,"38,700",200,+0.52%,500,"38,584","99,700",4.42,"293,216",27.90,10.53,
81,한국항공우주,"39,550",250,+0.64%,"5,000","38,551","97,475",14.00,"1,704,131",29.12,15.84,
82,삼성카드,"32,400",700,+2.21%,"5,000","37,538","115,859",10.73,"110,385",9.11,5.04,
83,LG화학우,"487,000","5,000",-1.02%,"5,000","37,444","7,689",64.05,"17,402",45.50,N/A,
84,GS,"39,050","1,000",+2.63%,"5,000","36,283","92,915",19.13,"332,256",-42.35,6.26,
85,롯데지주,"34,350",900,+2.69%,200,"36,036","104,909",11.26,"102,459",-5.03,-5.21,
86,삼성증권,"39,550",450,+1.15%,"5,000","35,318","89,300",26.00,"250,968",7.51,8.15,
87,일진머티리얼즈,"76,300",100,+0.13%,500,"35,183","46,111",8.60,"472,327",79.15,8.52,
88,쌍용양회,"6,960",220,+3.26%,100,"35,069","503,860",2.82,"2,347,655",27.95,7.02,
89,NH투자증권,"11,850",0,0.00%,"5,000","33,347","281,409",15.36,"460,968",5.76,9.12,
90,더존비즈온,"110,500","1,000",+0.91%,500,"33,294","30,130",45.63,"54,968",68.68,18.78,
91,두산밥캣,"32,850",250,+0.77%,500,"32,932","100,249",22.12,"277,958",17.78,7.05,
92,호텔신라,"83,600","1,600",+1.95%,"5,000","32,811","39,248",18.54,"423,074",-25.37,20.16,
93,GS건설,"40,500",200,+0.50%,"5,000","32,718","80,785",26.38,"400,115",10.60,11.79,
94,만도,"69,600","3,900",-5.31%,"1,000","32,682","46,957",25.26,"997,159",-58.93,7.55,
95,TIGER 200,"42,760",30,-0.07%,0,"32,562","76,150",0.88,"283,413",N/A,N/A,
96,롯데쇼핑,"114,500","4,000",+3.62%,"5,000","32,391","28,289",11.60,"109,585",-2.42,-8.14,
97,에스원,"83,800",300,+0.36%,500,"31,843","37,999",56.30,"26,521",22.05,11.32,
98,한국가스공사,"33,500","1,500",+4.69%,"5,000","30,925","92,313",8.88,"377,366",-6.16,0.48,
99,CJ,"100,500",700,+0.70%,"5,000","29,323","29,177",19.75,"39,416",16.69,6.24,
100,현대차우,"117,500","5,000",-4.08%,"5,000","28,619","24,357",56.32,"190,909",28.08,N/A,
101,포스코인터내셔널,"23,150","1,100",+4.99%,"5,000","28,561","123,375",10.19,"5,498,657",12.77,7.06,
102,대우조선해양,"26,400",450,+1.73%,"5,000","28,325","107,291",9.28,"124,416",16.25,-1.22,
103,BGF리테일,"163,000",500,+0.31%,"1,000","28,173","17,284",32.57,"14,752",21.53,26.46,
104,GS리테일,"35,850","1,100",+3.17%,"1,000","27,604","77,000",14.67,"362,957",16.34,6.25,
105,DB손해보험,"38,600",550,+1.45%,500,"27,329","70,800",40.53,"96,951",4.92,6.92,
106,휠라홀딩스,"44,250","1,000",+2.31%,"1,000","26,883","60,752",48.19,"240,192",14.92,23.81,
107,DB하이텍,"60,300",500,-0.82%,"5,000","26,772","44,399",22.86,"575,524",16.27,17.40,
108,대우건설,"6,200",0,0.00%,"5,000","25,769","415,623",8.09,"1,852,930",13.39,8.80,
109,현대오토에버,"122,000","4,500",-3.56%,500,"25,620","21,000",0.96,"95,143",44.57,11.71,
110,대웅,"43,900","1,950",-4.25%,500,"25,524","58,142",5.06,"288,010",50.58,10.43,
111,한화,"34,050",50,-0.15%,"5,000","25,523","74,959",19.69,"213,845",13.88,2.09,
112,한솔케미칼,"224,500","7,000",+3.22%,"5,000","25,448","11,335",40.55,"101,954",21.60,20.88,
113,삼성엔지니어링,"12,950",300,+2.37%,"5,000","25,382","196,000",24.22,"661,050",9.94,24.62,
114,메리츠증권,"3,745",20,+0.54%,"1,000","25,315","675,962",13.45,"1,197,154",4.69,15.06,
115,한샘,"106,500","4,000",+3.90%,"1,000","25,064","23,534",23.08,"218,558",37.39,7.32,
116,OCI,"105,000","2,500",+2.44%,"5,000","25,042","23,849",19.88,"147,535",-3.39,-26.20,
117,팬오션,"4,655",85,+1.86%,"1,000","24,884","534,570",11.34,"1,259,164",18.40,5.49,
118,하이트진로,"35,350",950,+2.76%,"5,000","24,792","70,134",8.38,"701,355",33.41,-3.86,
119,한화생명,"2,840",15,+0.53%,"5,000","24,666","868,530",7.29,"2,705,693",10.80,0.51,
120,피비파마,"41,000","8,200",+25.00%,0,"24,639","60,096",4.39,"16,922,296",N/A,N/A,
121,현대위아,"89,000","9,300",-9.46%,"5,000","24,204","27,195",10.13,"954,651",19.23,1.80,
122,신세계,"245,500","7,500",+3.15%,"5,000","24,170","9,845",24.22,"91,154",-7.89,14.24,
123,DL이앤씨,"122,500","2,500",+2.08%,"5,000","23,714","19,359",26.77,"229,540",N/A,N/A,
124,제일기획,"20,250",250,+1.25%,200,"23,296","115,041",32.89,"192,844",17.16,15.09,
125,LS,"70,000",300,+0.43%,"5,000","22,540","32,200",14.54,"87,635",-972.22,0.80,
126,현대로템,"20,600",300,-1.44%,"5,000","22,483","109,142",4.73,"1,229,709",-11.70,-37.93,
127,한화에어로스페이스,"43,200",350,-0.80%,"5,000","21,872","50,630",17.94,"383,101",30.29,5.45,
128,KODEX 200선물인버스2X,"2,075",5,+0.24%,0,"21,227","1,023,000",0.93,"359,850,124",N/A,N/A,
129,한화시스템,"19,150",150,+0.79%,"5,000","21,109","110,230",4.99,"1,047,978",27.12,8.15,
130,오뚜기,"572,000","3,000",+0.53%,"5,000","21,004","3,672",16.47,"1,863",19.33,7.79,
131,종근당,"181,000","3,000",-1.63%,"2,500","20,681","11,426",12.32,"49,999",21.47,11.94,
132,대한유화,"317,000","13,000",+4.28%,"5,000","20,605","6,500",20.88,"50,491",23.20,6.11,
133,한국앤컴퍼니,"21,700",250,+1.17%,500,"20,185","93,020",9.02,"418,929",18.11,4.71,
134,녹십자홀딩스,"42,650",50,+0.12%,500,"20,058","47,028",6.69,"314,828",40.31,0.37,
135,효성티앤씨,"462,500","16,500",-3.44%,"5,000","20,016","4,328",15.92,"138,957",23.48,20.86,
136,현대백화점,"85,000","3,200",+3.91%,"5,000","19,892","23,402",14.86,"386,544",17.41,4.64,
137,현대미포조선,"49,750","2,700",+5.74%,"5,000","19,871","39,942",13.14,"768,301",42.81,2.31,
138,두산인프라코어,"9,040",70,-0.77%,"5,000","19,520","215,932",6.45,"6,635,188",11.66,11.59,
139,HDC현대산업개발,"29,200",100,+0.34%,"5,000","19,245","65,907",10.12,"386,309",7.25,20.30,
140,LS ELECTRIC,"64,100",500,+0.79%,"5,000","19,230","30,000",14.57,"95,320",24.70,7.82,
141,F&F,"124,500","4,000",+3.32%,500,"19,173","15,400",9.96,"113,659",22.01,25.13,
142,BNK금융지주,"5,820",50,+0.87%,"5,000","18,969","325,935",38.76,"1,015,161",3.95,7.07,
143,효성,"89,400",500,+0.56%,"5,000","18,837","21,071",7.65,"319,031",-41.91,4.25,
144,KODEX 삼성그룹,"10,540",40,+0.38%,0,"18,561","176,100",0.03,"187,909",N/A,N/A,
145,KCC,"208,000","6,000",+2.97%,"5,000","18,484","8,886",11.80,"34,778",-660.32,-4.37,
146,현대엘리베이,"44,700",150,+0.34%,"5,000","18,244","40,815",26.79,"171,325",20.02,5.22,
147,현대해상,"20,300",200,+1.00%,500,"18,148","89,400",36.23,"245,077",4.98,6.23,
148,메리츠화재,"14,900",400,+2.76%,500,"17,973","120,625",10.03,"468,802",4.37,12.80,
149,농심,"290,000",500,+0.17%,"5,000","17,640","6,083",17.20,"12,181",13.01,3.72,
150,KODEX 200TR,"13,810",10,-0.07%,0,"17,546","127,050",0.03,"57,057",N/A,N/A,
151,KODEX 단기채권,"102,695",0,0.00%,0,"17,432","16,975",0.00,"21,339",N/A,N/A,
152,대웅제약,"150,000","3,000",-1.96%,"2,500","17,380","11,587",4.87,"42,256","-1,048.95",4.34,
153,KODEX 레버리지,"27,505",40,-0.15%,0,"17,218","62,600",4.17,"23,273,501",N/A,N/A,
154,KODEX MSCI Korea TR,"13,795",20,-0.14%,0,"17,147","124,300",10.27,"272,109",N/A,N/A,
155,아이에스동서,"54,200",200,+0.37%,500,"16,744","30,893",5.26,"30,264",13.07,6.10,
156,씨에스윈드,"93,800","9,000",+10.61%,500,"16,214","17,286",9.03,"1,270,235",65.41,9.92,
157,영원무역,"36,450",50,+0.14%,500,"16,152","44,311",24.22,"79,581",9.86,9.82,
158,TIGER MSCI Korea TR,"17,360",85,-0.49%,0,"16,075","92,600",0.00,"167,676",N/A,N/A,
159,솔루스첨단소재,"52,400","1,600",+3.15%,100,"16,029","30,590",7.06,"419,392",151.45,N/A,
160,부광약품,"24,500","1,250",-4.85%,500,"15,885","64,838",4.81,"2,163,151","12,250.00",-2.00,
161,동원시스템즈,"61,500","3,600",+6.22%,"5,000","15,755","25,619",1.48,"169,508",34.94,8.69,
162,KODEX 종합채권(AA-이상)액티브,"109,670",115,-0.10%,0,"15,075","13,746",0.00,"1,967",N/A,N/A,
163,LG생활건강우,"717,000","8,000",+1.13%,"5,000","15,055","2,100",84.42,"2,440",16.06,N/A,
164,롯데정밀화학,"58,100","1,200",+2.11%,"5,000","14,990","25,800",22.83,"127,404",8.76,11.73,
165,명신산업,"36,350","1,200",-3.20%,500,"14,823","40,779",1.70,"274,128",N/A,53.84,
166,세방전지,"102,500","4,000",-3.76%,500,"14,350","14,000",25.12,"176,772",19.42,7.70,
167,DL,"92,600","2,900",+3.23%,"5,000","14,299","15,441",32.71,"438,880",4.90,11.74,
168,SK네트웍스,"5,690",200,+3.64%,"2,500","14,122","248,188",12.05,"1,735,195",-24.63,-5.85,
169,코오롱인더,"52,300",800,-1.51%,"5,000","14,110","26,979",15.24,"273,848",9.36,1.58,
170,NHN,"72,000",600,+0.84%,500,"14,087","19,565",11.53,"38,940",47.97,0.78,
171,지누스,"97,700",600,+0.62%,500,"14,075","14,407",23.17,"25,581",19.72,26.32,
172,LG전자우,"80,400",500,+0.63%,"5,000","13,818","17,186",38.53,"159,337",17.46,N/A,
173,효성첨단소재,"299,500","10,000",-3.23%,"5,000","13,417","4,480",9.76,"211,879",-20.06,-19.74,
174,메리츠금융지주,"10,000",180,+1.83%,500,"13,401","134,011",8.37,"295,740",2.88,15.26,
175,한올바이오파마,"25,450",450,-1.74%,500,"13,295","52,241",6.47,"441,290",67.51,14.90,
176,신세계인터내셔날,"181,500","5,000",+2.83%,"5,000","12,959","7,140",4.71,"41,223",28.74,12.98,
177,SK디스커버리,"66,700",0,0.00%,"5,000","12,698","19,038",9.95,"88,785",4.38,11.52,
178,에스엘,"26,250","2,200",-7.73%,500,"12,653","48,203",14.63,"480,449",28.20,7.25,
179,한전KPS,"28,100",200,+0.72%,200,"12,645","45,000",10.95,"108,821",10.43,14.98,
180,영진약품,"6,730",40,+0.60%,500,"12,309","182,893",4.22,"269,985","-1,682.50",4.43,
181,KBSTAR 200,"43,030",45,-0.10%,0,"12,199","28,350",0.02,"62,596",N/A,N/A,
182,이노션,"60,600",200,-0.33%,500,"12,120","20,000",29.75,"41,199",18.87,9.88,
183,한국콜마,"52,800","1,100",+2.13%,500,"12,081","22,881",28.10,"136,028",37.99,6.39,
184,금호타이어,"4,160",115,+2.84%,"5,000","11,950","287,260",5.35,"639,805",-11.92,-3.30,
185,KODEX 인버스,"3,890",5,+0.13%,0,"11,915","306,300",2.59,"46,556,857",N/A,N/A,
186,DGB금융지주,"6,980",120,+1.75%,"5,000","11,806","169,146",47.10,"477,311",3.56,7.31,
187,다우기술,"26,150",150,-0.57%,500,"11,733","44,867",22.42,"147,865",4.20,14.62,
188,롯데칠성,"130,500","4,500",+3.57%,500,"11,713","8,975",10.41,"32,215",-13.38,-11.68,
189,더블유게임즈,"62,500",500,+0.81%,500,"11,484","18,375",14.02,"40,854",10.72,18.93,
190,JB금융지주,"5,770",60,+1.05%,"5,000","11,366","196,983",39.64,"308,008",3.29,10.36,
191,롯데관광개발,"16,400",200,+1.23%,500,"11,361","69,276",4.44,"233,198",-24.08,-4.77,
192,태광산업,"1,013,000","14,000",+1.40%,"5,000","11,279","1,113",7.74,897,10.87,4.34,
193,아시아나항공,"15,050",350,+2.38%,"5,000","11,199","74,412",20.07,"583,212",-1.30,-90.67,
194,코스맥스,"109,500","3,000",+2.82%,500,"11,004","10,050",23.99,"98,622",27.10,10.45,
195,후성,"11,850",100,-0.84%,500,"10,974","92,607",4.68,"445,218",-215.45,3.85,
196,KG동부제철,"10,900",0,0.00%,"5,000","10,901","100,009",0.12,"63,487",13.23,-7.44,
197,티와이홀딩스,"26,950",750,-2.71%,500,"10,826","40,172",6.94,"168,753",N/A,N/A,
198,솔루엠,"25,200",350,+1.41%,500,"10,712","42,508",0.22,"3,626,979",24.88,86.98,
199,대한전선,"1,240",10,+0.81%,500,"10,620","856,473",1.93,"7,047,544",-68.89,-3.99,
200,KODEX 코스닥150 레버리지,"15,730",170,-1.07%,0,"10,586","67,300",3.26,"4,151,980",N/A,N/A,
